month,year,days,report_date,journey_type,journeys_millions
6,2016,30,09/30/2016,Underground & DLR,107.5093825
7,2016,31,12/31/2016,Underground & DLR,120.0079534
8,2016,31,12/31/2016,Underground & DLR,122.6700472
9,2016,30,12/31/2016,Underground & DLR,126.7160291
10,2016,31,03/31/2017,Underground & DLR,96.57648637
11,2016,30,03/31/2017,Underground & DLR,111.459421
12,2016,31,03/31/2017,Underground & DLR,118.0162681
1,2017,31,06/30/2017,Underground & DLR,114.2706568
2,2017,28,06/30/2017,Underground & DLR,115.4927741
3,2017,31,06/30/2017,Underground & DLR,110.7642947
4,2017,30,09/30/2017,Underground & DLR,118.5452633
5,2017,31,09/30/2017,Underground & DLR,110.1956401
6,2017,30,09/30/2017,Underground & DLR,105.0908914
7,2017,31,12/31/2017,Underground & DLR,118.2085973
8,2017,31,12/31/2017,Underground & DLR,120.4664206
9,2017,30,12/31/2017,Underground & DLR,124.9023461
10,2017,31,03/31/2018,Underground & DLR,95.1068036
11,2017,30,03/31/2018,Underground & DLR,114.7345789
12,2017,31,03/31/2018,Underground & DLR,114.5119732
1,2018,31,06/30/2018,Underground & DLR,112.9114077
2,2018,28,06/30/2018,Underground & DLR,115.3119189
3,2018,31,06/30/2018,Underground & DLR,113.6166283
4,2018,30,09/30/2018,Underground & DLR,118.6820696
5,2018,31,09/30/2018,Underground & DLR,109.3244926
6,2018,30,09/30/2018,Underground & DLR,106.1268563
7,2018,31,12/31/2018,Underground & DLR,119.4499156
8,2018,31,12/31/2018,Underground & DLR,122.8427646
9,2018,30,12/31/2018,Underground & DLR,128.1559949
10,2018,31,03/31/2019,Underground & DLR,99.40385898
11,2018,30,03/31/2019,Underground & DLR,116.0488427
12,2018,31,03/31/2019,Underground & DLR,120.5413866
1,2019,31,06/30/2019,Underground & DLR,110.0272776
2,2019,28,06/30/2019,Underground & DLR,115.8457432
3,2019,31,06/30/2019,Underground & DLR,117.2677211
4,2019,30,09/30/2019,Underground & DLR,121.383085
5,2019,31,09/30/2019,Underground & DLR,112.1151585
6,2019,30,09/30/2019,Underground & DLR,108.1266944
7,2019,31,12/31/2019,Underground & DLR,121.7741123
8,2019,31,12/31/2019,Underground & DLR,123.2356757
9,2019,30,12/31/2019,Underground & DLR,127.3912004
10,2019,31,03/31/2020,Underground & DLR,98.71301509
11,2019,30,03/31/2020,Underground & DLR,115.0359661
12,2019,31,03/31/2020,Underground & DLR,115.52339
1,2020,31,06/30/2020,Underground & DLR,6.950756766
2,2020,29,06/30/2020,Underground & DLR,8.041099198
3,2020,31,06/30/2020,Underground & DLR,15.4406231
4,2020,30,09/30/2020,Underground & DLR,25.16060445
5,2020,31,09/30/2020,Underground & DLR,32.35450664
6,2020,30,09/30/2020,Underground & DLR,40.48165937
7,2020,31,12/31/2020,Underground & DLR,43.96023385
8,2020,31,12/31/2020,Underground & DLR,37.81227172
9,2020,30,12/31/2020,Underground & DLR,36.13152027
10,2020,31,03/31/2021,Underground & DLR,21.57123913
11,2020,30,03/31/2021,Underground & DLR,19.41306327
12,2020,31,03/31/2021,Underground & DLR,22.86173855
1,2021,31,06/30/2021,Underground & DLR,42.26403732
2,2021,28,06/30/2021,Underground & DLR,47.46783371
3,2021,31,06/30/2021,Underground & DLR,54.12393818
4,2021,30,09/30/2021,Underground & DLR,54.94853502
5,2021,31,09/30/2021,Underground & DLR,57.12025494
6,2021,30,09/30/2021,Underground & DLR,64.10997061
7,2021,31,12/31/2021,Underground & DLR,76.82103574
8,2021,31,12/31/2021,Underground & DLR,80.85394361
9,2021,30,12/31/2021,Underground & DLR,82.78647055
10,2021,31,03/31/2022,Underground & DLR,49.91020194
11,2021,30,03/31/2022,Underground & DLR,66.10711783
12,2021,31,03/31/2022,Underground & DLR,71.93920475
1,2022,31,06/30/2022,Underground & DLR,86.30268431
2,2022,28,06/30/2022,Underground & DLR,87.75874007
3,2022,31,06/30/2022,Underground & DLR,78.38485223
4,2022,30,09/30/2022,Underground & DLR,87.77907382
5,2022,31,09/30/2022,Underground & DLR,80.3174556
6,2022,30,09/30/2022,Underground & DLR,86.08141475
7,2022,31,12/31/2022,Underground & DLR,95.77307287
8,2022,31,12/31/2022,Underground & DLR,95.31413963
9,2022,30,12/31/2022,Underground & DLR,102.6669159
10,2022,31,03/31/2023,Underground & DLR,74.26269933
11,2022,30,03/31/2023,Underground & DLR,92.61881061
12,2022,31,03/31/2023,Underground & DLR,97.59914948
1,2010,31,06/30/2010,Bus,189.1146606
2,2010,28,06/30/2010,Bus,181.6047923
3,2010,31,06/30/2010,Bus,175.8831733
4,2010,30,09/30/2010,Bus,183.4280516
5,2010,31,09/30/2010,Bus,160.4227672
6,2010,30,09/30/2010,Bus,175.8073358
7,2010,31,12/31/2010,Bus,189.7979071
8,2010,31,12/31/2010,Bus,179.8809146
9,2010,30,12/31/2010,Bus,178.8450951
10,2010,31,03/31/2011,Bus,140.051899
11,2010,30,03/31/2011,Bus,183.0263399
12,2010,31,03/31/2011,Bus,177.1822043
1,2011,31,06/30/2011,Bus,183.7890695
2,2011,28,06/30/2011,Bus,186.1431198
3,2011,31,06/30/2011,Bus,181.6502126
4,2011,30,09/30/2011,Bus,186.6689899
5,2011,31,09/30/2011,Bus,161.0650796
6,2011,30,09/30/2011,Bus,173.899762
7,2011,31,12/31/2011,Bus,193.4086629
8,2011,31,12/31/2011,Bus,185.1585965
9,2011,30,12/31/2011,Bus,189.4425409
10,2011,31,03/31/2012,Bus,151.1920286
11,2011,30,03/31/2012,Bus,181.3792522
12,2011,31,03/31/2012,Bus,179.4957134
1,2012,31,06/30/2012,Bus,171.8478123
2,2012,29,06/30/2012,Bus,189.2119656
3,2012,31,06/30/2012,Bus,176.5380988
4,2012,30,09/30/2012,Bus,189.9110592
5,2012,31,09/30/2012,Bus,167.1383355
6,2012,30,09/30/2012,Bus,177.0473123
7,2012,31,12/31/2012,Bus,194.2151059
8,2012,31,12/31/2012,Bus,184.6723651
9,2012,30,12/31/2012,Bus,187.603801
10,2012,31,03/31/2013,Bus,151.9363269
11,2012,30,03/31/2013,Bus,178.1221944
12,2012,31,03/31/2013,Bus,180.2517954
1,2013,31,06/30/2013,Bus,171.634596
2,2013,28,06/30/2013,Bus,188.7783616
3,2013,31,06/30/2013,Bus,183.498908
4,2013,30,09/30/2013,Bus,190.1784043
5,2013,31,09/30/2013,Bus,166.3236541
6,2013,30,09/30/2013,Bus,173.6793093
7,2013,31,12/31/2013,Bus,194.5059853
8,2013,31,12/31/2013,Bus,186.3485597
9,2013,30,12/31/2013,Bus,193.2191911
10,2013,31,03/31/2014,Bus,155.1304078
11,2013,30,03/31/2014,Bus,186.6478788
12,2013,31,03/31/2014,Bus,185.6287836
1,2014,31,06/30/2014,Bus,164.1128984
2,2014,28,06/30/2014,Bus,192.7652362
3,2014,31,06/30/2014,Bus,188.0825198
4,2014,30,09/30/2014,Bus,191.1015715
5,2014,31,09/30/2014,Bus,169.2446588
6,2014,30,09/30/2014,Bus,176.5021254
7,2014,31,12/31/2014,Bus,198.7598134
8,2014,31,12/31/2014,Bus,190.1546904
9,2014,30,12/31/2014,Bus,195.6391849
10,2014,31,03/31/2015,Bus,156.8042458
11,2014,30,03/31/2015,Bus,178.2268004
12,2014,31,03/31/2015,Bus,176.2994552
1,2015,31,06/30/2015,Bus,203.3982894
2,2015,28,06/30/2015,Bus,180.4511754
3,2015,31,06/30/2015,Bus,189.8925395
4,2015,30,09/30/2015,Bus,182.5099453
5,2015,31,09/30/2015,Bus,162.2927649
6,2015,30,09/30/2015,Bus,175.0026654
7,2015,31,12/31/2015,Bus,190.7567215
8,2015,31,12/31/2015,Bus,181.1999349
9,2015,30,12/31/2015,Bus,186.6151484
10,2015,31,03/31/2016,Bus,147.1039225
11,2015,30,03/31/2016,Bus,179.5026361
12,2015,31,03/31/2016,Bus,175.9804637
1,2016,31,06/30/2016,Bus,189.2696946
2,2016,29,06/30/2016,Bus,181.877468
3,2016,31,06/30/2016,Bus,173.6442849
4,2016,30,09/30/2016,Bus,177.6993792
5,2016,31,09/30/2016,Bus,155.321431
6,2016,30,09/30/2016,Bus,166.3205143
7,2016,31,12/31/2016,Bus,186.9184053
8,2016,31,12/31/2016,Bus,176.6024622
9,2016,30,12/31/2016,Bus,182.6521273
10,2016,31,03/31/2017,Bus,145.7549356
11,2016,30,03/31/2017,Bus,174.4384818
12,2016,31,03/31/2017,Bus,172.9433928
1,2017,31,06/30/2017,Bus,172.5880603
2,2017,28,06/30/2017,Bus,182.263921
3,2017,31,06/30/2017,Bus,175.7759459
4,2017,30,09/30/2017,Bus,181.4774547
5,2017,31,09/30/2017,Bus,155.1018845
6,2017,30,09/30/2017,Bus,165.9884702
7,2017,31,12/31/2017,Bus,186.9083717
8,2017,31,12/31/2017,Bus,178.097614
9,2017,30,12/31/2017,Bus,183.7709394
10,2017,31,03/31/2018,Bus,145.0617339
11,2017,30,03/31/2018,Bus,175.2207321
12,2017,31,03/31/2018,Bus,168.6537267
1,2018,31,06/30/2018,Bus,165.8652481
2,2018,28,06/30/2018,Bus,179.6128231
3,2018,31,06/30/2018,Bus,173.8886094
4,2018,30,09/30/2018,Bus,177.7558703
5,2018,31,09/30/2018,Bus,151.5015641
6,2018,30,09/30/2018,Bus,162.1282351
7,2018,31,12/31/2018,Bus,183.7250794
8,2018,31,12/31/2018,Bus,175.1653687
9,2018,30,12/31/2018,Bus,180.5210914
10,2018,31,03/31/2019,Bus,144.857876
11,2018,30,03/31/2019,Bus,171.3353323
12,2018,31,03/31/2019,Bus,171.3055776
1,2019,31,06/30/2019,Bus,156.63758
2,2019,28,06/30/2019,Bus,175.2471373
3,2019,31,06/30/2019,Bus,171.3800179
4,2019,30,09/30/2019,Bus,176.9586057
5,2019,31,09/30/2019,Bus,149.8232367
6,2019,30,09/30/2019,Bus,159.7781831
7,2019,31,12/31/2019,Bus,179.3092965
8,2019,31,12/31/2019,Bus,168.9086314
9,2019,30,12/31/2019,Bus,176.2157208
10,2019,31,03/31/2020,Bus,140.9879969
11,2019,30,03/31/2020,Bus,169.4236583
12,2019,31,03/31/2020,Bus,165.1762223
1,2020,31,06/30/2020,Bus,30.22373646
2,2020,29,06/30/2020,Bus,32.4672429
3,2020,31,06/30/2020,Bus,46.95951983
4,2020,30,09/30/2020,Bus,66.66579493
5,2020,31,09/30/2020,Bus,75.17395979
6,2020,30,09/30/2020,Bus,94.76144428
7,2020,31,12/31/2020,Bus,101.9750272
8,2020,31,12/31/2020,Bus,88.85523703
9,2020,30,12/31/2020,Bus,88.99404731
10,2020,31,03/31/2021,Bus,57.48044274
11,2020,30,03/31/2021,Bus,51.62279978
12,2020,31,03/31/2021,Bus,56.89329743
1,2021,31,06/30/2021,Bus,95.9139842
2,2021,28,06/30/2021,Bus,104.2862393
3,2021,31,06/30/2021,Bus,106.9782457
4,2021,30,09/30/2021,Bus,109.1357947
5,2021,31,09/30/2021,Bus,98.81442361
6,2021,30,09/30/2021,Bus,115.5285252
7,2021,31,12/31/2021,Bus,130.1574945
8,2021,31,12/31/2021,Bus,125.3761971
9,2021,30,12/31/2021,Bus,131.3435068
10,2021,31,03/31/2022,Bus,95.1341721
11,2021,30,03/31/2022,Bus,123.5065039
12,2021,31,03/31/2022,Bus,127.7833297
1,2022,31,06/30/2022,Bus,134.9875548
2,2022,28,06/30/2022,Bus,140.4674372
3,2022,31,06/30/2022,Bus,138.0328727
4,2022,30,09/30/2022,Bus,137.8083418
5,2022,31,09/30/2022,Bus,122.4636054
6,2022,30,09/30/2022,Bus,132.881525
7,2022,31,12/31/2022,Bus,146.9544838
8,2022,31,12/31/2022,Bus,143.1045551
9,2022,30,12/31/2022,Bus,145.9953186
10,2022,31,03/31/2023,Bus,116.9117902
11,2022,30,03/31/2023,Bus,141.2852413
12,2022,31,03/31/2023,Bus,141.6020729
1,2010,31,06/30/2010,Tram,2.2877845
2,2010,28,06/30/2010,Tram,2.1547905
3,2010,31,06/30/2010,Tram,2.1291215
4,2010,30,09/30/2010,Tram,2.1419405
5,2010,31,09/30/2010,Tram,2.0084825
6,2010,30,09/30/2010,Tram,2.0267475
7,2010,31,12/31/2010,Tram,2.2727365
8,2010,31,12/31/2010,Tram,2.2050475
9,2010,30,12/31/2010,Tram,2.294527
10,2010,31,03/31/2011,Tram,1.8491465
11,2010,30,03/31/2011,Tram,2.140724
12,2010,31,03/31/2011,Tram,2.2221135
1,2011,31,06/30/2011,Tram,2.112539
2,2011,28,06/30/2011,Tram,2.243446
3,2011,31,06/30/2011,Tram,2.207762
4,2011,30,09/30/2011,Tram,2.282373
5,2011,31,09/30/2011,Tram,1.925193
6,2011,30,09/30/2011,Tram,2.149924
7,2011,31,12/31/2011,Tram,2.364217
8,2011,31,12/31/2011,Tram,2.308021
9,2011,30,12/31/2011,Tram,2.396722
10,2011,31,03/31/2012,Tram,1.92691
11,2011,30,03/31/2012,Tram,2.249438
12,2011,31,03/31/2012,Tram,2.028529
1,2012,31,06/30/2012,Tram,2.148610908
2,2012,29,06/30/2012,Tram,2.338405044
3,2012,31,06/30/2012,Tram,2.177143285
4,2012,30,09/30/2012,Tram,2.489121454
5,2012,31,09/30/2012,Tram,2.328187675
6,2012,30,09/30/2012,Tram,2.350059961
7,2012,31,12/31/2012,Tram,2.497070196
8,2012,31,12/31/2012,Tram,2.1722911
9,2012,30,12/31/2012,Tram,2.4633864
10,2012,31,03/31/2013,Tram,2.038857573
11,2012,30,03/31/2013,Tram,2.312969946
12,2012,31,03/31/2013,Tram,2.357240795
1,2013,31,06/30/2013,Tram,2.2857799
2,2013,28,06/30/2013,Tram,2.471114322
3,2013,31,06/30/2013,Tram,2.384661963
4,2013,30,09/30/2013,Tram,2.520668741
5,2013,31,09/30/2013,Tram,2.241317567
6,2013,30,09/30/2013,Tram,2.035954184
7,2013,31,12/31/2013,Tram,2.590109907
8,2013,31,12/31/2013,Tram,2.444683228
9,2013,30,12/31/2013,Tram,2.568597062
10,2013,31,03/31/2014,Tram,2.033851329
11,2013,30,03/31/2014,Tram,2.447911409
12,2013,31,03/31/2014,Tram,2.433560379
1,2014,31,06/30/2014,Tram,2.242393829
2,2014,28,06/30/2014,Tram,2.358107152
3,2014,31,06/30/2014,Tram,2.288241128
4,2014,30,09/30/2014,Tram,2.472438453
5,2014,31,09/30/2014,Tram,1.966043618
6,2014,30,09/30/2014,Tram,2.257142926
7,2014,31,12/31/2014,Tram,2.638905613
8,2014,31,12/31/2014,Tram,2.408685204
9,2014,30,12/31/2014,Tram,2.597320062
10,2014,31,03/31/2015,Tram,2.084920346
11,2014,30,03/31/2015,Tram,2.437836606
12,2014,31,03/31/2015,Tram,2.448465498
1,2015,31,06/30/2015,Tram,2.085206
2,2015,28,06/30/2015,Tram,2.009069
3,2015,31,06/30/2015,Tram,2.111567
4,2015,30,09/30/2015,Tram,2.174068
5,2015,31,09/30/2015,Tram,1.846514
6,2015,30,09/30/2015,Tram,2.025645
7,2015,31,12/31/2015,Tram,2.200561
8,2015,31,12/31/2015,Tram,2.16637
9,2015,30,12/31/2015,Tram,2.25369
10,2015,31,03/31/2016,Tram,1.848881
11,2015,30,03/31/2016,Tram,2.133401629
12,2015,31,03/31/2016,Tram,2.231009117
1,2016,31,06/30/2016,Tram,2.392990897
2,2016,29,06/30/2016,Tram,2.381151083
3,2016,31,06/30/2016,Tram,2.309534152
4,2016,30,09/30/2016,Tram,2.439134898
5,2016,31,09/30/2016,Tram,1.813009057
6,2016,30,09/30/2016,Tram,2.244757992
7,2016,31,12/31/2016,Tram,2.518967928
8,2016,31,12/31/2016,Tram,2.219800939
9,2016,30,12/31/2016,Tram,2.123296512
10,2016,31,03/31/2017,Tram,2.084239862
11,2016,30,03/31/2017,Tram,2.40832477
12,2016,31,03/31/2017,Tram,2.206987478
1,2017,31,06/30/2017,Tram,2.133444005
2,2017,28,06/30/2017,Tram,2.259733915
3,2017,31,06/30/2017,Tram,2.22733318
4,2017,30,09/30/2017,Tram,2.366947479
5,2017,31,09/30/2017,Tram,2.060928147
6,2017,30,09/30/2017,Tram,2.207812359
7,2017,31,12/31/2017,Tram,2.535750337
8,2017,31,12/31/2017,Tram,2.323729408
9,2017,30,12/31/2017,Tram,2.434063255
10,2017,31,03/31/2018,Tram,1.938765422
11,2017,30,03/31/2018,Tram,2.241396561
12,2017,31,03/31/2018,Tram,2.165873986
1,2018,31,06/30/2018,Tram,1.930794131
2,2018,28,06/30/2018,Tram,2.347233824
3,2018,31,06/30/2018,Tram,2.271671918
4,2018,30,09/30/2018,Tram,2.357244124
5,2018,31,09/30/2018,Tram,2.063891481
6,2018,30,09/30/2018,Tram,2.205294413
7,2018,31,12/31/2018,Tram,2.397660726
8,2018,31,12/31/2018,Tram,2.321038206
9,2018,30,12/31/2018,Tram,2.35507492
10,2018,31,03/31/2019,Tram,1.855491815
11,2018,30,03/31/2019,Tram,2.221696164
12,2018,31,03/31/2019,Tram,2.17577707
1,2019,31,06/30/2019,Tram,1.974102172
2,2019,28,06/30/2019,Tram,2.159410313
3,2019,31,06/30/2019,Tram,2.229806879
4,2019,30,09/30/2019,Tram,2.318362493
5,2019,31,09/30/2019,Tram,2.006081421
6,2019,30,09/30/2019,Tram,1.647323423
7,2019,31,12/31/2019,Tram,2.307972909
8,2019,31,12/31/2019,Tram,2.201839772
9,2019,30,12/31/2019,Tram,2.315897918
10,2019,31,03/31/2020,Tram,1.909165289
11,2019,30,03/31/2020,Tram,2.306802813
12,2019,31,03/31/2020,Tram,2.196717919
1,2020,31,06/30/2020,Tram,0.4409341027
2,2020,29,06/30/2020,Tram,0.4708111824
3,2020,31,06/30/2020,Tram,0.7047072514
4,2020,30,09/30/2020,Tram,1.000114417
5,2020,31,09/30/2020,Tram,1.03842435
6,2020,30,09/30/2020,Tram,1.217863616
7,2020,31,12/31/2020,Tram,1.386815393
8,2020,31,12/31/2020,Tram,1.027393231
9,2020,30,12/31/2020,Tram,1.130221658
10,2020,31,03/31/2021,Tram,0.7389538501
11,2020,30,03/31/2021,Tram,0.6680008889
12,2020,31,03/31/2021,Tram,0.7720590376
1,2021,31,06/30/2021,Tram,1.259912104
2,2021,28,06/30/2021,Tram,1.480810339
3,2021,31,06/30/2021,Tram,1.495872167
4,2021,30,09/30/2021,Tram,1.502612253
5,2021,31,09/30/2021,Tram,1.266967879
6,2021,30,09/30/2021,Tram,1.238905097
7,2021,31,12/31/2021,Tram,1.677421013
8,2021,31,12/31/2021,Tram,1.664439075
9,2021,30,12/31/2021,Tram,1.556498656
10,2021,31,03/31/2022,Tram,1.243865261
11,2021,30,03/31/2022,Tram,1.608317179
12,2021,31,03/31/2022,Tram,1.406886544
1,2022,31,06/30/2022,Tram,1.580049835
2,2022,28,06/30/2022,Tram,1.790680814
3,2022,31,06/30/2022,Tram,1.745495802
4,2022,30,09/30/2022,Tram,1.46955654
5,2022,31,09/30/2022,Tram,1.54454662
6,2022,30,09/30/2022,Tram,1.453775667
7,2022,31,12/31/2022,Tram,1.641060508
8,2022,31,12/31/2022,Tram,1.690798187
9,2022,30,12/31/2022,Tram,1.602802
10,2022,31,03/31/2023,Tram,1.295158
11,2022,30,03/31/2023,Tram,1.783315698
12,2022,31,03/31/2023,Tram,1.633231022
1,2010,31,06/30/2010,Overground,
2,2010,28,06/30/2010,Overground,
3,2010,31,06/30/2010,Overground,
4,2010,30,09/30/2010,Overground,
5,2010,31,09/30/2010,Overground,
6,2010,30,09/30/2010,Overground,
7,2010,31,12/31/2010,Overground,
8,2010,31,12/31/2010,Overground,5.634584968
9,2010,30,12/31/2010,Overground,5.437621108
10,2010,31,03/31/2011,Overground,3.482651646
11,2010,30,03/31/2011,Overground,5.243922841
12,2010,31,03/31/2011,Overground,5.154636957
1,2011,31,06/30/2011,Overground,6.255826688
2,2011,28,06/30/2011,Overground,6.435434169
3,2011,31,06/30/2011,Overground,6.939514058
4,2011,30,09/30/2011,Overground,7.583551011
5,2011,31,09/30/2011,Overground,7.652665925
6,2011,30,09/30/2011,Overground,7.681396324
7,2011,31,12/31/2011,Overground,8.698969452
8,2011,31,12/31/2011,Overground,8.802090147
9,2011,30,12/31/2011,Overground,9.017742087
10,2011,31,03/31/2012,Overground,6.882365476
11,2011,30,03/31/2012,Overground,8.701779664
12,2011,31,03/31/2012,Overground,8.816425055
1,2012,31,06/30/2012,Overground,8.530067297
2,2012,29,06/30/2012,Overground,8.870131388
3,2012,31,06/30/2012,Overground,8.568230412
4,2012,30,09/30/2012,Overground,8.871851218
5,2012,31,09/30/2012,Overground,10.50640562
6,2012,30,09/30/2012,Overground,9.825229929
7,2012,31,12/31/2012,Overground,9.666574601
8,2012,31,12/31/2012,Overground,9.847806267
9,2012,30,12/31/2012,Overground,9.991859874
10,2012,31,03/31/2013,Overground,8.214637796
11,2012,30,03/31/2013,Overground,10.18613218
12,2012,31,03/31/2013,Overground,10.73786676
1,2013,31,06/30/2013,Overground,10.27484354
2,2013,28,06/30/2013,Overground,10.33791163
3,2013,31,06/30/2013,Overground,10.90388008
4,2013,30,09/30/2013,Overground,11.32033596
5,2013,31,09/30/2013,Overground,10.57159315
6,2013,30,09/30/2013,Overground,10.35787157
7,2013,31,12/31/2013,Overground,11.21835925
8,2013,31,12/31/2013,Overground,9.58901815
9,2013,30,12/31/2013,Overground,10.62870273
10,2013,31,03/31/2014,Overground,8.142000786
11,2013,30,03/31/2014,Overground,10.30713502
12,2013,31,03/31/2014,Overground,10.80797722
1,2014,31,06/30/2014,Overground,9.721181807
2,2014,28,06/30/2014,Overground,10.53527559
3,2014,31,06/30/2014,Overground,10.49466896
4,2014,30,09/30/2014,Overground,10.7756373
5,2014,31,09/30/2014,Overground,10.64618227
6,2014,30,09/30/2014,Overground,10.81955554
7,2014,31,12/31/2014,Overground,10.84366212
8,2014,31,12/31/2014,Overground,11.04538765
9,2014,30,12/31/2014,Overground,11.23038825
10,2014,31,03/31/2015,Overground,8.668505227
11,2014,30,03/31/2015,Overground,11.35479264
12,2014,31,03/31/2015,Overground,11.08739821
1,2015,31,06/30/2015,Overground,13.32389054
2,2015,28,06/30/2015,Overground,11.81718347
3,2015,31,06/30/2015,Overground,14.68160573
4,2015,30,09/30/2015,Overground,14.86933322
5,2015,31,09/30/2015,Overground,13.76391107
6,2015,30,09/30/2015,Overground,13.93937148
7,2015,31,12/31/2015,Overground,15.65157073
8,2015,31,12/31/2015,Overground,15.53898643
9,2015,30,12/31/2015,Overground,15.75319307
10,2015,31,03/31/2016,Overground,11.31366562
11,2015,30,03/31/2016,Overground,15.39186469
12,2015,31,03/31/2016,Overground,14.49889317
1,2016,31,06/30/2016,Overground,15.64536191
2,2016,29,06/30/2016,Overground,14.43277766
3,2016,31,06/30/2016,Overground,13.77792909
4,2016,30,09/30/2016,Overground,14.13202587
5,2016,31,09/30/2016,Overground,13.74282798
6,2016,30,09/30/2016,Overground,14.18852051
7,2016,31,12/31/2016,Overground,15.23670263
8,2016,31,12/31/2016,Overground,15.43628028
9,2016,30,12/31/2016,Overground,15.69699568
10,2016,31,03/31/2017,Overground,11.98208519
11,2016,30,03/31/2017,Overground,14.83998874
12,2016,31,03/31/2017,Overground,14.6108366
1,2017,31,06/30/2017,Overground,14.72110999
2,2017,28,06/30/2017,Overground,14.83456338
3,2017,31,06/30/2017,Overground,14.38761568
4,2017,30,09/30/2017,Overground,14.98989134
5,2017,31,09/30/2017,Overground,14.44132847
6,2017,30,09/30/2017,Overground,14.54848112
